,man thing reason t01,god lord written t02,specie thing object t03,good evil action t04,virtue moral reason t05,nature natural man t06,sin sins man t07,end thing intention t08,knowledge thing intellect t09,power reason subject t10,act acts voluntary t11,charity god love t12,greater man greatest t13,body flesh soul t14,punishment death man t15,happiness man perfect t16,passion appetite movement t17,give work alms t18,justice man person t19,love friendship good t20,pleasure desire concupiscence t21,common people good t22,fortitude virtue temperance t23,soul body angel t24,law human divine t25,precept law commandment t26,faith unbelief unbeliever t27,vice pride opposed t28,increase circumstance measure t29,grace god man t30,habit disposition nature t31,merit reward life t32,hope object despair t33,man judge lawful t34,church spiritual bishop t35,gift holy ghost t36,god religion worship t37,honor man great t38,counsel judgment matter t39,religious perfection state t40,child father parent t41,sin mortal venial t42,sorrow pleasure pain t43,prudence art part t43,truth lie false t45,sacrifice offered worship t46,fear evil daring t47,life contemplation active t48,covetousness liberality money t49,word person man t50,anger angry envy t51,thing bound money t52,lust chastity virginity t53,peace glory vainglory t54,vow oath religion t55,prayer pray god t56,prophecy prophet revelation t57,sin original soul t58,man devil sin t59,demon future divination t60
fpsp.q1.a1,0.0,0.0,0.06554770206339075,0.0,0.0,0.12516794954204052,0.0,0.3742011510884166,0.0,0.10513330611021696,0.2745151819852171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a2,0.09121571703431508,0.0,0.0,0.0,0.0,0.16168196985702593,0.0,0.32659537805723743,0.0,0.2478357989951455,0.11285327734930332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a3,0.0,0.0,0.24104223322450946,0.0,0.0,0.09507971384023106,0.0,0.2093220269384728,0.0,0.0,0.2920571392568354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a4,0.0,0.0,0.0,0.16675794068934446,0.0,0.055844808344211655,0.0,0.28439110153062314,0.0,0.0,0.06961797863595617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633937580925083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a5,0.17788154238712894,0.0,0.0,0.0,0.0,0.12404599343389006,0.0,0.3092337231193818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21202730582467186,0.0,0.0,0.0,0.0,0.0531685712025665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46399894330105396,0.075785680394247,0.0,0.09454153452522886,0.0,0.0,0.0,0.0,0.15070533330567906,0.0,0.0,0.0,0.0,0.0942555451858235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a7,0.10557837475369916,0.0,0.0,0.0,0.0,0.0,0.0,0.4797373719647844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11840969423598514,0.0,0.0,0.0,0.0,0.14776487127863716,0.05934495184128598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q1.a8,0.0,0.0,0.0,0.0,0.0,0.16785299613927865,0.0,0.4739071770840693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2231482222559258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a1,0.0,0.08100694292500647,0.0,0.0,0.0,0.10817344067038262,0.0,0.07684139695014101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3130512963316765,0.0,0.16704469280143194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12870035591630485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q2.a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2508824293984477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511854917895622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
